"database","workload","nodes","threads","duration","throughput","readOperationCount","readAvgLatency","readMinLatency","readMaxLatency","readPer95Latency","readPer99Latency","insertOperationCount","insertAvgLatency","insertMinLatency","insertMaxLatency","insertPer95Latency","insertPer99Latency","updateOperationCount","updateAvgLatency","updateMinLatency","updateMaxLatency","updatePer95Latency","updatePer99Latency","rmwOperationCount","rmwAvgLatency","rmwMinLatency","rmwMaxLatency","rmwPer95Latency","rmwPer99Latency"
"Citus","A",1,3,60,28.520084,836,64916.36124,303,223487,149887,172799,0,0,0,0,0,0,878,141686.5786,16816,351999,252415,291327,0,0,0,0,0,0
"Citus","B",1,3,60,91.61842,5229,29120.10614,259,500223,98367,148095,0,0,0,0,0,0,278,98521.66907,20208,947199,196095,260607,0,0,0,0,0,0
"Citus","C",1,3,60,142.502499,8553,20974.98387,233,660991,77759,118207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",1,3,60,33.412054,2009,43090.94724,276,202751,126847,155135,0,0,0,0,0,0,1006,92423.92048,12224,222463,158847,193535,1006,137028.0994,12672,317695,241279,292607
"Citus","D",1,3,60,169.414194,9595,13669.75154,208,190975,75455,107839,579,83554.17617,12832,351231,157695,205439,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",1,12,60,60.027534,1821,113515.1658,281,400127,243967,307711,0,0,0,0,0,0,1798,283807.7686,79872,632319,428031,505343,0,0,0,0,0,0
"Citus","B",1,12,60,116.49548,6649,93500.45405,236,549887,266239,330239,0,0,0,0,0,0,349,275599.2206,65920,1744895,535551,1337343,0,0,0,0,0,0
"Citus","C",1,12,60,195.570789,11754,61155.98222,216,734719,225151,319231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",1,12,60,82.992858,4997,63922.0048,253,335615,197503,235903,0,0,0,0,0,0,2503,159645.8266,37280,465663,220415,294399,2503,223392.2301,38784,465919,356607,403455
"Citus","D",1,12,60,280.261977,16038,33990.72285,198,439807,163327,255999,822,211472.9343,58336,462079,341503,379391,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",1,21,60,81.556459,2443,143108.1998,254,525311,316159,411391,0,0,0,0,0,0,2472,364697.9676,97088,1099775,541183,685567,0,0,0,0,0,0
"Citus","B",1,21,60,128.857858,7356,148381.9244,213,740351,373503,442879,0,0,0,0,0,0,414,402970.2029,112704,833023,656895,744447,0,0,0,0,0,0
"Citus","C",1,21,60,210.599791,12672,99158.04072,201,886271,347391,476415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","F",1,21,60,116.62263,7018,74755.61813,231,441087,240511,300031,0,0,0,0,0,0,3492,209730.8866,70656,686079,299007,423935,3492,286929.9885,79808,795647,453119,525823
"Citus","D",1,21,60,415.043587,23775,37753.96681,174,494847,202111,323071,1221,295739.6233,116544,1897471,428031,1418239,0,0,0,0,0,0,0,0,0,0,0,0
"Citus","A",1,30,60,110.471769,3372,150752.3366,257,748031,331775,411135,0,0,0,0,0,0,3290,389253.048,118016,1386495,590335,702975,0,0,0,0,0,0
